,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU
3,Centro,1,0,0,15,800.0,390.0,20.0
4,Higienópolis,1,0,0,48,800.0,230.0,0.0
28,Tijuca,1,0,0,48,750.0,772.0,25.0
54,Centro,1,0,0,27,750.0,371.0,19.0
94,Centro,1,1,0,37,1100.0,540.0,900.0
148,Vila Isabel,1,0,0,37,1000.0,285.0,24.0
293,Botafogo,1,0,0,35,1000.0,293.0,86.0
355,Engenho Novo,1,1,0,63,700.0,625.0,36.0
385,Maracanã,1,1,1,120,1000.0,985.0,150.0
576,Freguesia (Jacarepaguá),1,1,0,49,1050.0,580.0,36.0
597,Leme,1,0,0,31,1140.0,420.0,24.0
616,Grajaú,1,0,0,30,800.0,283.0,187.0
622,Botafogo,1,0,0,17,1100.0,330.0,15.0
631,Méier,1,0,0,53,900.0,484.0,37.0
642,Curicica,1,1,0,45,700.0,356.0,126.0
658,Méier,1,0,0,50,1000.0,390.0,16.0
672,Andaraí,1,0,1,30,1100.0,580.0,0.0
796,Freguesia (Jacarepaguá),1,1,0,49,850.0,590.0,37.0
880,Centro,1,0,1,38,1150.0,400.0,25.0
914,Santa Teresa,1,0,0,21,800.0,312.0,15.0
1006,Centro,1,0,0,35,1000.0,300.0,0.0
1024,Campo Grande,1,1,0,46,650.0,250.0,0.0
1104,Vila Isabel,1,1,1,50,1050.0,450.0,0.0
1132,Fátima,1,0,0,50,1100.0,558.0,20.0
1136,Higienópolis,1,0,0,55,750.0,120.0,0.0
1148,Botafogo,1,0,0,35,1000.0,293.0,86.0
1149,Santa Teresa,1,1,0,49,1150.0,570.0,28.0
1382,Copacabana,1,0,0,35,1100.0,400.0,55.0
1390,Tijuca,1,0,0,40,1100.0,350.0,50.0
1442,Glória,1,0,0,34,1100.0,275.0,14.0
1445,Higienópolis,1,0,1,45,800.0,120.0,31.0
1525,Engenho Novo,1,0,0,37,600.0,414.0,16.0
1616,Encantado,1,1,0,44,500.0,346.0,0.0
1620,Barra da Tijuca,1,1,1,45,910.0,640.0,12.0
1652,Centro,1,0,0,30,900.0,320.0,0.0
1685,Centro,1,0,0,21,900.0,289.0,20.0
1706,Praça da Bandeira,1,0,0,35,400.0,130.0,0.0
1744,Rio Comprido,1,0,0,33,800.0,275.0,24.0
1810,Praça Seca,1,1,1,70,600.0,481.0,17.0
1829,São Cristóvão,1,0,0,56,850.0,450.0,15.0
2073,Centro,1,0,0,38,900.0,223.0,15.0
2097,Méier,1,0,0,47,700.0,435.0,162.0
2131,Engenho Novo,1,1,1,51,850.0,509.0,17.0
2228,Méier,1,0,0,55,850.0,340.0,16.0
2310,Flamengo,1,0,1,26,1100.0,381.0,29.0
2370,Santa Teresa,1,0,0,45,740.0,180.0,25.0
2480,Tanque,1,1,1,64,900.0,470.0,15.0
2524,Glória,1,0,1,48,1100.0,500.0,0.0
2783,Centro,1,0,0,40,1000.0,510.0,21.0
2791,Méier,1,1,0,55,900.0,250.0,17.0
2850,Centro,1,0,0,55,850.0,350.0,35.0
2869,Centro,1,0,0,28,900.0,446.0,24.0
2872,Catete,1,0,0,27,1000.0,359.0,29.0
2884,Engenho Novo,1,1,0,62,900.0,555.0,0.0
2887,Tijuca,1,0,0,35,800.0,380.0,24.0
2897,Cascadura,1,0,0,40,680.0,240.0,0.0
2930,Freguesia (Jacarepaguá),1,1,0,50,1000.0,590.0,36.0
3025,Flamengo,1,0,0,39,1100.0,580.0,20.0
3026,Centro,1,0,0,35,950.0,340.0,24.0
3179,Tijuca,1,1,0,47,1100.0,600.0,0.0
3205,Madureira,1,0,0,55,700.0,200.0,0.0
3223,Copacabana,1,0,0,55,1100.0,560.0,57.0
3225,Laranjeiras,1,0,0,27,1100.0,680.0,29.0
3257,Glória,1,0,0,50,950.0,570.0,67.0
3276,Praça Seca,1,1,0,45,650.0,370.0,140.0
3288,Higienópolis,1,0,1,37,900.0,308.0,0.0
3302,Centro,1,0,0,34,1000.0,450.0,21.0
3324,Tijuca,1,0,0,35,800.0,420.0,0.0
3372,Freguesia (Jacarepaguá),1,1,0,50,1050.0,590.0,37.0
3377,Centro,1,0,0,45,1100.0,400.0,0.0
3424,Cidade Nova,1,0,0,37,800.0,214.0,14.0
3486,Lapa,1,0,0,32,1100.0,380.0,0.0
3542,Caju,1,0,1,45,850.0,230.0,0.0
3642,Glória,1,0,1,40,1150.0,520.0,0.0
3714,Centro,1,0,0,33,800.0,380.0,25.0
3728,Praça Seca,1,1,0,48,450.0,275.0,0.0
3977,Centro,1,0,0,42,1090.0,345.0,24.0
4180,Glória,1,0,0,20,900.0,495.0,0.0
4259,Recreio dos Bandeirantes,1,0,0,24,1000.0,364.0,0.0
4417,Cachambi,1,0,1,39,850.0,320.0,0.0
4445,Copacabana,1,0,0,33,1100.0,523.0,56.0
4446,Sampaio,1,0,0,51,800.0,205.0,0.0
4524,Freguesia (Jacarepaguá),1,1,0,49,1100.0,590.0,36.0
4578,Marechal Hermes,1,0,0,50,800.0,280.0,0.0
4621,Vila da Penha,1,0,0,45,1100.0,250.0,0.0
4665,Bonsucesso,1,0,0,38,850.0,170.0,0.0
4701,Cachambi,1,1,0,48,750.0,250.0,0.0
4866,Maracanã,1,0,0,54,1000.0,450.0,20.0
4972,Sampaio,1,0,0,51,800.0,205.0,0.0
5028,Lins de Vasconcelos,1,1,0,60,800.0,460.0,250.0
5094,Centro,1,0,1,40,950.0,350.0,24.0
5378,Vila Isabel,1,1,0,66,1000.0,750.0,20.0
5388,Centro,1,0,0,33,850.0,342.0,21.0
5430,Copacabana,1,0,0,28,950.0,647.0,56.0
5595,Praça Seca,1,0,0,47,500.0,10.0,0.0
5735,Pechincha,1,1,0,61,1000.0,347.0,52.0
5827,Freguesia (Jacarepaguá),1,1,0,41,750.0,357.0,16.0
5974,Barra da Tijuca,1,1,1,42,1100.0,669.0,0.0
6011,Vargem Pequena,1,1,1,70,1000.0,680.0,89.0
6016,Catete,1,0,0,26,800.0,400.0,29.0
6078,Freguesia (Jacarepaguá),1,1,0,32,900.0,263.0,15.0
6183,Copacabana,1,0,0,31,1100.0,506.0,58.0
6284,Madureira,1,0,0,45,550.0,198.0,0.0
6408,Centro,1,0,0,15,800.0,305.0,20.0
6528,Jacarepaguá,1,1,0,50,1100.0,480.0,14.0
6562,Braz de Pina,1,1,0,45,720.0,80.0,0.0
6621,Centro,1,0,0,30,1100.0,400.0,0.0
6670,Riachuelo,1,1,0,45,900.0,557.0,16.0
6713,Marechal Hermes,1,0,0,33,600.0,3.0,0.0
6920,Rocha Miranda,1,0,0,45,500.0,80.0,0.0
7030,Sampaio,1,1,0,60,1000.0,400.0,0.0
7114,Moneró,1,0,0,50,1100.0,360.0,49.0
7266,Botafogo,1,0,0,35,1000.0,293.0,86.0
7349,Tijuca,1,0,0,40,1100.0,450.0,24.0
7424,Maracanã,1,0,0,50,1100.0,492.0,20.0
7490,Freguesia (Ilha do Governador),1,0,0,40,800.0,150.0,0.0
7538,Recreio dos Bandeirantes,1,0,0,50,900.0,100.0,62.0
7540,Oswaldo Cruz,1,1,0,50,650.0,227.0,0.0
7723,Santa Teresa,1,0,0,35,800.0,400.0,0.0
7754,Ilha do Governador,1,0,0,45,1000.0,355.0,20.0
8047,Praça da Bandeira,1,0,0,30,800.0,355.0,25.0
8085,Pechincha,1,0,0,60,1100.0,347.0,55.0
8117,Cachambi,1,0,0,40,800.0,150.0,0.0
8179,Glória,1,0,0,30,1100.0,361.0,24.0
8373,Cachambi,1,1,0,45,700.0,210.0,0.0
8400,Méier,1,0,0,40,1100.0,500.0,13.0
8422,Penha,1,0,0,50,900.0,250.0,0.0
8515,Andaraí,1,0,0,40,1000.0,340.0,190.0
8529,Todos os Santos,1,1,1,48,1000.0,490.0,0.0
8569,Engenho de Dentro,1,0,0,30,300.0,50.0,0.0
8614,Jacarepaguá,1,0,0,30,550.0,18.0,8.0
8642,Copacabana,1,0,0,28,1100.0,450.0,54.0
8759,Centro,1,0,0,30,800.0,400.0,0.0
8783,Praça da Bandeira,1,0,0,39,900.0,437.0,0.0
8809,Santa Teresa,1,0,0,49,660.0,235.0,14.0
8919,Centro,1,0,0,25,1000.0,321.0,24.0
8965,Rocha Miranda,1,1,0,35,699.0,99.0,0.0
9051,Pechincha,1,1,0,46,800.0,585.0,0.0
9133,Centro,1,0,0,20,1000.0,216.0,21.0
9165,Praça da Bandeira,1,0,0,35,1090.0,450.0,25.0
9174,Ramos,1,0,0,45,600.0,240.0,0.0
9185,Tijuca,1,0,0,33,1000.0,515.0,14.0
9247,Campo Grande,1,1,0,40,500.0,182.0,0.0
9256,Centro,1,0,0,55,950.0,433.0,47.0
9306,Centro,1,0,0,34,800.0,424.0,25.0
9323,Campo Grande,1,1,0,50,500.0,180.0,0.0
9368,Botafogo,1,0,0,35,1000.0,293.0,86.0
9509,Cachambi,1,1,0,35,800.0,407.0,0.0
9523,Freguesia (Jacarepaguá),1,1,0,55,900.0,395.0,88.0
9631,Catete,1,0,1,34,1000.0,400.0,53.0
9835,Lapa,1,0,0,30,1100.0,420.0,0.0
9886,Centro,1,0,0,30,1000.0,394.0,20.0
9904,Vila Isabel,1,0,0,36,1050.0,385.0,0.0
10212,Olaria,1,1,0,60,860.0,555.0,80.0
10275,Senador Vasconcelos,1,1,1,50,800.0,180.0,0.0
10326,Engenho Novo,1,1,0,62,650.0,612.0,0.0
10358,Marechal Hermes,1,0,0,50,800.0,200.0,0.0
10548,Praça Seca,1,1,0,37,500.0,322.0,0.0
10628,Andaraí,1,0,0,42,900.0,447.0,20.0
10704,Centro,1,0,0,43,1000.0,400.0,18.0
10705,Lins de Vasconcelos,1,1,1,98,800.0,913.0,82.0
10912,Méier,1,1,0,40,900.0,657.0,0.0
11013,Botafogo,1,0,0,19,980.0,481.0,29.0
11077,Vila Isabel,1,0,0,50,1000.0,400.0,0.0
11171,Centro,1,0,0,32,1000.0,450.0,30.0
11189,Praça Seca,1,1,0,41,800.0,320.0,20.0
11295,Jacarepaguá,1,0,0,53,1000.0,363.0,13.0
11311,Centro,1,0,0,41,800.0,384.0,17.0
11366,Jacarepaguá,1,0,0,37,1100.0,308.0,16.0
11387,Andaraí,1,1,0,50,1000.0,464.0,25.0
11419,Anil,1,0,0,30,550.0,13.0,8.0
11506,Vila da Penha,1,0,0,48,750.0,245.0,0.0
11511,Méier,1,1,0,42,900.0,405.0,17.0
11607,Centro,1,0,0,33,750.0,486.0,25.0
11691,Méier,1,1,0,45,800.0,200.0,50.0
11714,Glória,1,0,0,43,1000.0,503.0,15.0
11738,Pechincha,1,0,0,46,800.0,545.0,14.0
11749,Barra da Tijuca,1,1,0,42,800.0,758.0,0.0
11886,Vila Isabel,1,0,0,41,1100.0,390.0,24.0
11996,Botafogo,1,0,0,23,850.0,581.0,30.0
12060,Catete,1,0,0,42,1000.0,530.0,0.0
12126,Santa Teresa,1,0,0,25,850.0,370.0,14.0
12128,Copacabana,1,0,0,41,900.0,700.0,0.0
12131,Cachambi,1,1,0,54,900.0,500.0,39.0
12158,Barra da Tijuca,1,1,0,42,850.0,762.0,40.0
12186,Tijuca,1,1,0,50,1100.0,567.0,20.0
12244,Centro,1,0,0,46,850.0,550.0,45.0
12394,Encantado,1,1,0,45,900.0,496.0,0.0
12404,Botafogo,1,0,0,26,1100.0,270.0,0.0
12459,Marechal Hermes,1,1,0,48,600.0,155.0,0.0
12475,Tijuca,1,0,1,40,1100.0,390.0,25.0
12534,Vila Isabel,1,0,0,30,1100.0,385.0,21.0
12538,Méier,1,0,0,60,900.0,582.0,20.0
12624,Vila Isabel,1,0,0,30,1100.0,400.0,0.0
12674,Vila Isabel,1,0,0,60,800.0,303.0,25.0
12717,Santa Teresa,1,0,0,27,900.0,340.0,0.0
12803,Glória,1,0,0,30,1000.0,500.0,20.0
12936,Senador Vasconcelos,1,1,1,50,800.0,180.0,0.0
12938,Freguesia (Jacarepaguá),1,1,0,60,950.0,583.0,140.0
13040,Engenho Novo,1,0,1,40,500.0,456.0,36.0
13058,Freguesia (Jacarepaguá),1,1,0,48,1000.0,450.0,0.0
13163,Praça da Bandeira,1,0,0,22,800.0,130.0,25.0
13201,Botafogo,1,0,0,24,1000.0,500.0,30.0
13316,Barra da Tijuca,1,1,1,44,1000.0,790.0,15.0
13389,Centro,1,0,0,40,1000.0,383.0,25.0
13407,Riachuelo,1,0,1,40,1100.0,229.0,0.0
13409,Copacabana,1,0,0,30,1000.0,600.0,56.0
13418,Catumbi,1,0,0,40,1000.0,146.0,0.0
13445,Freguesia (Jacarepaguá),1,1,0,56,700.0,770.0,18.0
13522,Copacabana,1,0,0,28,1000.0,350.0,0.0
13540,Tanque,1,0,0,75,1100.0,625.0,14.0
13572,Vila da Penha,1,0,0,42,600.0,210.0,0.0
13641,Centro,1,0,0,27,600.0,420.0,89.0
13644,Méier,1,0,0,40,600.0,250.0,13.0
13693,Vaz Lobo,1,0,0,60,600.0,92.0,33.0
13860,Jardim Guanabara,1,1,0,35,1000.0,171.0,25.0
14022,Riachuelo,1,1,0,46,950.0,550.0,16.0
14187,Méier,1,1,0,40,900.0,456.0,20.0
14356,Campinho,1,0,0,35,700.0,66.0,0.0
14370,Centro,1,0,0,33,1150.0,370.0,20.0
14412,Centro,1,0,0,35,1000.0,335.0,25.0
14454,Copacabana,1,0,0,35,1130.0,500.0,0.0
14493,Penha,1,1,0,60,850.0,314.0,0.0
14575,São Francisco Xavier,1,0,0,51,700.0,505.0,0.0
14680,Tijuca,1,1,0,60,900.0,556.0,24.0
14765,Cachambi,1,0,0,40,800.0,130.0,14.0
14887,Praça Seca,1,0,0,60,750.0,30.0,0.0
14922,Tijuca,1,0,0,40,1100.0,500.0,20.0
14937,Quintino Bocaiúva,1,1,0,39,600.0,354.0,0.0
14983,Lins de Vasconcelos,1,1,0,62,900.0,500.0,0.0
14986,Flamengo,1,1,0,35,1000.0,490.0,0.0
15027,Flamengo,1,0,0,36,1000.0,495.0,55.0
15058,Vila Isabel,1,0,0,45,1000.0,350.0,20.0
15069,Campo Grande,1,1,0,55,750.0,517.0,0.0
15166,Copacabana,1,0,0,31,1100.0,397.0,67.0
15249,Engenho Novo,1,0,0,46,1100.0,500.0,0.0
15266,Laranjeiras,1,0,0,24,900.0,415.0,29.0
15360,Taquara,1,1,0,55,700.0,406.0,0.0
15500,Todos os Santos,1,0,0,70,800.0,656.0,39.0
15701,Tijuca,1,1,0,35,900.0,335.0,20.0
15745,Copacabana,1,0,0,36,1100.0,805.0,70.0
15802,Tijuca,1,1,1,40,1000.0,594.0,0.0
15807,Tijuca,1,0,0,58,1100.0,408.0,0.0
15859,Vila da Penha,1,0,0,37,700.0,50.0,0.0
16002,Tanque,1,0,0,45,750.0,75.0,0.0
16129,Tijuca,1,0,1,33,900.0,460.0,25.0
16138,Centro,1,0,0,35,900.0,517.0,25.0
16191,Quintino Bocaiúva,1,0,0,50,1100.0,145.0,0.0
